season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,us_viewers
1,1,1,The Long Bright Dark,Cary Joji Fukunaga,Nic Pizzolatto,2014-01-12,2330000.0
1,2,2,Seeing Things,Cary Joji Fukunaga,Nic Pizzolatto,2014-01-19,1670000.0
1,3,3,The Locked Room,Cary Joji Fukunaga,Nic Pizzolatto,2014-01-26,1930000.0
1,4,4,Who Goes There,Cary Joji Fukunaga,Nic Pizzolatto,2014-02-09,1990000.0
1,5,5,The Secret Fate of All Life,Cary Joji Fukunaga,Nic Pizzolatto,2014-02-16,2250000.0
1,6,6,Haunted Houses,Cary Joji Fukunaga,Nic Pizzolatto,2014-02-23,2640000.0
1,7,7,After You've Gone,Cary Joji Fukunaga,Nic Pizzolatto,2014-03-02,2340000.0
1,8,8,Form and Void,Cary Joji Fukunaga,Nic Pizzolatto,2014-03-09,3520000.0
2,1,9,The Western Book of the Dead,Justin Lin,Nic Pizzolatto,2015-06-21,3170000.0
2,2,10,Night Finds You,Justin Lin,Nic Pizzolatto,2015-06-28,3050000.0
2,3,11,Maybe Tomorrow,Janus Metz,Nic Pizzolatto,2015-07-05,2620000.0
2,4,12,Down Will Come,Jeremy Podeswa,Nic Pizzolatto & Scott Lasser,2015-07-12,2360000.0
2,5,13,Other Lives,John Crowley,Nic Pizzolatto,2015-07-19,2420000.0
2,6,14,Church in Ruins,Miguel Sapochnik,Nic Pizzolatto & Scott Lasser,2015-07-26,2340000.0
2,7,15,Black Maps and Motel Rooms,Daniel Attias,Nic Pizzolatto,2015-08-02,2180000.0
2,8,16,Omega Station,John Crowley,Nic Pizzolatto,2015-08-09,2730000.0
3,1,17,The Great War and Modern Memory,Jeremy Saulnier,Nic Pizzolatto,2019-01-13,1440000.0
3,2,18,Kiss Tomorrow Goodbye,Jeremy Saulnier,Nic Pizzolatto,2019-01-13,1190000.0
3,3,19,The Big Never,Daniel Sackheim,Nic Pizzolatto,2019-01-20,1060000.0
3,4,20,The Hour and the Day,Nic Pizzolatto,Nic Pizzolatto & David Milch,2019-01-27,1450000.0
3,5,21,If You Have Ghosts,Nic Pizzolatto,Nic Pizzolatto,2019-02-01,880000.0
3,6,22,Hunters in the Dark,Daniel Sackheim,Graham Gordy & Nic Pizzolatto,2019-02-10,1250000.0
3,7,23,The Final Country,Daniel Sackheim,Nic Pizzolatto,2019-02-17,1320000.0
3,8,24,Now Am Found,Daniel Sackheim,Nic Pizzolatto,2019-02-24,1380000.0
